scontrino_id,numero_riga,prodotto_id,quantita,prezzo_unitario_locale
1,1,34,1,637.72
1,2,14,1,1007.09
2,1,33,1,600.47
3,1,37,1,472.58
3,2,17,1,146.66
4,1,30,1,634.87
4,2,63,1,990.68
4,3,51,1,496.19
5,1,65,1,5897.21
5,2,69,1,2113.45
6,1,43,1,6289.22
6,2,9,1,1816.64
7,1,57,2,35154.27
7,2,3,1,88211.45
7,3,82,1,189917.75
8,1,81,1,164.93
9,1,91,1,730.96
9,2,100,2,245.3
10,1,51,1,478.14
10,2,31,1,751.37
10,3,32,1,229.74
11,1,95,1,31659.81
12,1,98,1,589.38
12,2,6,1,487.72
13,1,9,1,241.31
13,2,70,1,183.82
14,1,75,1,1767.1
15,1,64,2,475.57
16,1,10,1,1310.98
16,2,59,1,4602.49
17,1,35,1,845.99
17,2,32,1,199.62
18,1,93,1,801.75
18,2,84,1,149.79
19,1,27,1,643.17
20,1,43,1,656.44
21,1,96,1,229.31
21,2,28,1,872.72
22,1,18,1,212.79
22,2,73,1,485.52
22,3,8,1,206.26
23,1,13,2,469.45
23,2,68,1,623.49
23,3,82,1,1075.88
24,1,71,1,176.16
24,2,13,2,507.2
24,3,24,1,480.36
25,1,13,1,431.87
25,2,85,1,194.12
25,3,63,1,965.51
26,1,80,1,549.99
27,1,73,1,82688.27
28,1,35,2,852.82
28,2,26,1,380.93
28,3,7,1,131.88
29,1,95,1,187.62
29,2,93,1,826.05
29,3,51,1,497.93
30,1,74,1,193.37
30,2,39,1,129.74
30,3,84,1,113.65
31,1,34,1,612.28
32,1,10,1,147.21
32,2,38,1,756.61
32,3,33,1,584.41
33,1,58,1,607.14
34,1,66,1,645.77
34,2,84,1,115.39
35,1,31,1,848.79
36,1,71,1,143.97
37,1,80,1,615.22
38,1,29,1,183.03
38,2,42,1,463.3
39,1,63,1,935.25
39,2,38,1,740.3
39,3,13,1,479.86
40,1,9,1,234.73
41,1,86,1,37374.53
41,2,79,1,146356.08
42,1,96,1,1687.71
43,1,90,2,676.11
43,2,83,2,220.59
43,3,73,1,461.18
44,1,88,1,1516.18
44,2,92,1,8567.39
44,3,30,1,4761.51
45,1,71,2,31693.24
45,2,69,1,48516.1
46,1,89,1,225.71
46,2,20,1,263.76
47,1,6,1,561.99
47,2,41,1,157.35
47,3,13,2,474.12
