scontrino_id,cliente_id,data_scontrino,valuta_id,punto_vendita_id
1,465,2024-01-01,2,17
2,640,2024-01-01,1,2
3,33,2024-01-01,1,25
4,210,2024-01-01,1,30
5,468,2024-01-01,4,20
6,438,2024-01-01,4,29
7,233,2024-01-01,5,23
8,414,2024-01-01,1,25
9,499,2024-01-01,1,4
10,442,2024-01-02,1,25
11,635,2024-01-02,5,23
12,874,2024-01-02,3,13
13,922,2024-01-02,1,25
14,248,2024-01-02,4,20
15,603,2024-01-02,3,14
16,109,2024-01-02,4,19
17,30,2024-01-02,3,13
18,539,2024-01-03,1,25
19,160,2024-01-03,3,28
20,457,2024-01-03,3,28
21,164,2024-01-03,1,30
22,488,2024-01-03,1,30
23,608,2024-01-03,1,27
24,912,2024-01-03,1,9
25,836,2024-01-03,1,7
26,253,2024-01-04,1,3
27,435,2024-01-04,5,22
28,823,2024-01-04,3,13
29,41,2024-01-04,1,25
30,965,2024-01-04,3,14
31,894,2024-01-04,1,12
32,957,2024-01-04,1,10
33,345,2024-01-04,1,4
34,36,2024-01-05,3,15
35,282,2024-01-05,1,9
36,317,2024-01-05,3,28
37,988,2024-01-05,3,15
38,700,2024-01-05,3,14
39,762,2024-01-05,1,30
40,488,2024-01-05,1,5
41,459,2024-01-05,5,23
42,883,2024-01-05,4,29
43,179,2024-01-06,1,10
44,797,2024-01-06,4,29
45,902,2024-01-06,5,22
46,523,2024-01-06,1,9
47,427,2024-01-06,1,3
48,34,2024-01-06,1,25
49,925,2024-01-06,1,27
50,795,2024-01-06,4,19
51,170,2024-01-07,1,27
52,785,2024-01-07,3,28
53,149,2024-01-07,2,18
54,407,2024-01-07,1,11
55,235,2024-01-07,5,24
56,220,2024-01-07,1,3
57,17,2024-01-07,3,28
58,321,2024-01-07,1,12
59,514,2024-01-08,2,18
60,853,2024-01-08,1,10
61,460,2024-01-08,1,3
62,406,2024-01-08,1,2
63,57,2024-01-08,1,6
64,961,2024-01-08,2,16
65,175,2024-01-08,3,28
66,688,2024-01-08,1,6
67,668,2024-01-08,1,8
68,148,2024-01-09,5,23
69,497,2024-01-09,1,5
70,312,2024-01-09,1,1
71,605,2024-01-09,4,20
72,912,2024-01-09,3,28
73,866,2024-01-09,1,6
74,758,2024-01-09,2,17
75,237,2024-01-09,4,21
76,598,2024-01-09,3,13
77,436,2024-01-10,5,22
78,565,2024-01-10,1,3
79,410,2024-01-10,1,12
80,547,2024-01-10,5,22
81,154,2024-01-10,1,10
82,966,2024-01-10,5,26
83,997,2024-01-10,4,29
84,858,2024-01-10,5,22
85,888,2024-01-11,1,7
86,700,2024-01-11,5,26
87,171,2024-01-11,2,18
88,927,2024-01-11,1,6
89,487,2024-01-11,4,21
90,9,2024-01-11,2,18
91,573,2024-01-11,2,18
92,913,2024-01-11,5,24
93,846,2024-01-11,1,3
94,500,2024-01-11,5,24
95,988,2024-01-11,5,22
96,910,2024-01-12,1,1
97,77,2024-01-12,1,27
98,265,2024-01-12,3,13
99,775,2024-01-12,2,16
100,648,2024-01-12,1,2
101,909,2024-01-13,1,10
102,317,2024-01-13,1,25
103,846,2024-01-13,4,20
104,306,2024-01-13,3,13
105,959,2024-01-13,3,14
106,269,2024-01-13,4,21
107,776,2024-01-13,2,16
108,967,2024-01-13,1,5
109,211,2024-01-13,3,13
110,27,2024-01-13,1,10
111,465,2024-01-14,1,3
112,536,2024-01-14,1,3
113,535,2024-01-14,5,22
114,978,2024-01-14,1,2
115,337,2024-01-14,1,11
116,408,2024-01-14,3,28
117,402,2024-01-14,4,29
118,260,2024-01-14,1,5
119,890,2024-01-14,1,7
120,806,2024-01-15,1,25
121,554,2024-01-15,1,11
122,745,2024-01-15,4,19
123,348,2024-01-15,3,13
124,567,2024-01-15,1,3
125,718,2024-01-15,4,21
126,117,2024-01-15,4,20
127,866,2024-01-15,1,25
128,902,2024-01-15,3,13
129,939,2024-01-15,4,29
130,902,2024-01-15,3,15
131,616,2024-01-16,1,4
132,586,2024-01-16,3,14
133,22,2024-01-16,1,30
134,421,2024-01-16,1,25
135,195,2024-01-16,1,1
136,358,2024-01-16,3,28
137,811,2024-01-16,1,2
138,485,2024-01-17,1,4
139,299,2024-01-17,1,4
140,823,2024-01-17,1,9
141,714,2024-01-17,1,25
142,343,2024-01-17,1,8
143,387,2024-01-17,1,5
144,333,2024-01-17,5,22
145,553,2024-01-17,1,7
146,329,2024-01-17,1,3
147,583,2024-01-17,5,24
148,286,2024-01-17,1,12
149,846,2024-01-18,3,13
150,292,2024-01-18,4,19
151,943,2024-01-18,5,26
152,906,2024-01-18,3,13
153,156,2024-01-18,1,9
154,885,2024-01-18,2,17
155,100,2024-01-18,1,8
156,65,2024-01-18,1,2
157,503,2024-01-19,4,20
158,805,2024-01-19,5,24
159,617,2024-01-19,4,29
160,955,2024-01-19,1,2
161,533,2024-01-19,1,7
162,449,2024-01-19,3,28
163,64,2024-01-19,4,19
164,806,2024-01-19,4,19
165,92,2024-01-19,1,25
166,1,2024-01-19,3,14
167,582,2024-01-19,1,8
168,51,2024-01-20,2,17
169,725,2024-01-20,1,12
170,119,2024-01-20,5,23
171,78,2024-01-20,4,20
172,656,2024-01-20,1,2
173,640,2024-01-20,1,7
174,444,2024-01-20,5,24
175,565,2024-01-20,1,9
176,538,2024-01-20,4,19
177,425,2024-01-20,1,11
178,875,2024-01-20,1,25
179,976,2024-01-21,5,22
180,699,2024-01-21,1,27
181,161,2024-01-21,2,18
182,361,2024-01-21,3,13
183,424,2024-01-21,1,25
184,675,2024-01-21,5,26
185,958,2024-01-21,1,25
186,103,2024-01-21,4,29
187,613,2024-01-21,1,4
188,615,2024-01-21,4,19
189,944,2024-01-21,1,30
190,668,2024-01-22,1,27
191,491,2024-01-22,1,11
192,732,2024-01-22,1,30
193,382,2024-01-22,1,3
194,871,2024-01-22,3,15
195,350,2024-01-22,1,2
196,244,2024-01-22,5,24
197,568,2024-01-22,1,6
198,755,2024-01-23,2,18
199,588,2024-01-23,1,2
200,797,2024-01-23,2,16
201,871,2024-01-23,1,8
202,900,2024-01-23,1,11
203,692,2024-01-23,3,14
204,582,2024-01-23,4,20
205,660,2024-01-23,1,7
206,12,2024-01-24,2,17
207,752,2024-01-24,1,2
208,707,2024-01-24,1,25
209,577,2024-01-24,2,16
210,337,2024-01-24,4,20
211,712,2024-01-24,3,15
212,606,2024-01-24,1,9
213,79,2024-01-24,1,2
214,749,2024-01-24,2,16
215,564,2024-01-25,1,2
216,488,2024-01-25,4,21
217,588,2024-01-25,1,7
218,613,2024-01-25,1,25
219,75,2024-01-25,3,13
220,154,2024-01-25,1,5
221,552,2024-01-25,1,5
222,33,2024-01-25,4,29
223,705,2024-01-25,1,12
224,804,2024-01-25,1,11
225,982,2024-01-26,5,26
226,111,2024-01-26,4,19
227,312,2024-01-26,2,17
228,826,2024-01-26,3,15
229,654,2024-01-26,1,8
230,544,2024-01-26,3,15
231,412,2024-01-26,1,11
232,915,2024-01-26,3,13
233,786,2024-01-26,5,24
234,635,2024-01-27,1,25
235,53,2024-01-27,1,27
236,452,2024-01-27,3,15
237,281,2024-01-27,1,7
238,85,2024-01-27,1,9
239,625,2024-01-27,1,1
240,917,2024-01-27,3,15
241,677,2024-01-27,1,1
242,338,2024-01-28,5,26
243,390,2024-01-28,3,13
244,770,2024-01-28,2,18
245,561,2024-01-28,3,14
246,433,2024-01-28,2,18
247,545,2024-01-28,5,26
248,668,2024-01-28,1,6
249,966,2024-01-28,1,4
